*****************************
Basic coeficients
*****************************
Alpha, Cd
  -4.000    ,     .000    ,   -.1810E-03,    .1780E-02,    .5474E-02,    .6854E-02
  -2.000    ,     .000    ,    .1446E-02,    .5034E-02,    .1022E-01,    .1203E-01
  -1.000    ,     .000    ,    .2259E-02,    .6661E-02,    .1260E-01,    .1462E-01
    .000    ,     .000    ,    .3073E-02,    .8288E-02,    .1497E-01,    .1721E-01
   1.000    ,     .000    ,    .3886E-02,    .9915E-02,    .1735E-01,    .1979E-01
   2.000    ,     .000    ,    .4700E-02,    .1154E-01,    .1972E-01,    .2238E-01
   4.000    ,     .000    ,    .6327E-02,    .1480E-01,    .2447E-01,    .2756E-01
   5.000    ,     .000    ,    .7140E-02,    .1642E-01,    .2685E-01,    .3014E-01
   8.000    ,     .000    ,    .9581E-02,    .2130E-01,    .3397E-01,    .3791E-01
   10.00    ,     .000    ,    .1121E-01,    .2456E-01,    .3872E-01,    .4308E-01
   12.00    ,     .000    ,    .1283E-01,    .2781E-01,    .4347E-01,    .4826E-01
   14.00    ,     .000    ,    .1446E-01,    .3107E-01,    .4822E-01,    .5343E-01
   16.00    ,     .000    ,    .1609E-01,    .3432E-01,    .5297E-01,    .5861E-01
   18.00    ,     .000    ,    .1772E-01,    .3757E-01,    .5772E-01,    .6378E-01

Plain Flaps (set 2)
DeltaFlap, CL
   15.00    ,   -.4814E-01
   10.00    ,   -.3283E-01
   5.000    ,   -.1642E-01
    .000    ,     .000    
  -5.000    ,    .1642E-01
  -10.00    ,    .3283E-01
  -13.00    ,    .4232E-01
  -16.00    ,    .5075E-01

Plain Flaps (set 2)
DeltaFlap, Cm
   15.00    ,    .2752    
   10.00    ,    .1880    
   5.000    ,    .9402E-01
    .000    ,     .000    
  -5.000    ,   -.9402E-01
  -10.00    ,   -.1880    
  -13.00    ,   -.2420    
  -16.00    ,   -.2901    

Cd_Flaps for Plain Flaps (set 2)
Alpha, DeltaFlap
            ,    15.00    ,    10.00    ,    5.000    ,     .000    ,   -5.000    ,   -10.00    ,   -13.00    ,   -16.00    
  -14.00    ,    .8114E-02,    .4934E-02,    .2145E-02,     .000    ,   -.1501E-02,   -.2357E-02,   -.2559E-02,   -.2557E-02
  -12.00    ,    .7166E-02,    .4287E-02,    .1822E-02,     .000    ,   -.1178E-02,   -.1711E-02,   -.1726E-02,   -.1559E-02
  -10.00    ,    .6243E-02,    .3658E-02,    .1507E-02,     .000    ,   -.8628E-03,   -.1082E-02,   -.9143E-03,   -.5857E-03
  -8.000    ,    .5325E-02,    .3031E-02,    .1194E-02,     .000    ,   -.5495E-03,   -.4550E-03,   -.1067E-03,    .3825E-03
  -6.000    ,    .4406E-02,    .2405E-02,    .8804E-03,     .000    ,   -.2363E-03,    .1714E-03,    .7007E-03,    .1351E-02
  -5.000    ,    .3946E-02,    .2091E-02,    .7234E-03,     .000    ,   -.7931E-04,    .4855E-03,    .1106E-02,    .1836E-02
  -4.000    ,    .3484E-02,    .1776E-02,    .5658E-03,     .000    ,    .7824E-04,    .8006E-03,    .1512E-02,    .2323E-02
  -2.000    ,    .2554E-02,    .1142E-02,    .2489E-03,     .000    ,    .3952E-03,    .1434E-02,    .2329E-02,    .3302E-02
  -1.000    ,    .2095E-02,    .8284E-03,    .9214E-04,     .000    ,    .5519E-03,    .1748E-02,    .2733E-02,    .3787E-02
    .000    ,    .1640E-02,    .5184E-03,   -.6285E-04,     .000    ,    .7069E-03,    .2058E-02,    .3132E-02,    .4266E-02
   1.000    ,    .1186E-02,    .2083E-03,   -.2179E-03,     .000    ,    .8620E-03,    .2368E-02,    .3532E-02,    .4745E-02
   2.000    ,    .7338E-03,   -.1000E-03,   -.3720E-03,     .000    ,    .1016E-02,    .2676E-02,    .3929E-02,    .5222E-02
   4.000    ,   -.1679E-03,   -.7150E-03,   -.6795E-03,     .000    ,    .1324E-02,    .3291E-02,    .4722E-02,    .6172E-02
   5.000    ,   -.6179E-03,   -.1022E-02,   -.8330E-03,     .000    ,    .1477E-02,    .3598E-02,    .5118E-02,    .6646E-02
   8.000    ,   -.1976E-02,   -.1948E-02,   -.1296E-02,     .000    ,    .1940E-02,    .4525E-02,    .6312E-02,    .8078E-02
   10.00    ,   -.2905E-02,   -.2582E-02,   -.1613E-02,     .000    ,    .2257E-02,    .5158E-02,    .7129E-02,    .9057E-02
   12.00    ,   -.3909E-02,   -.3266E-02,   -.1955E-02,     .000    ,    .2599E-02,    .5843E-02,    .8011E-02,    .1011E-01
   14.00    ,   -.5056E-02,   -.4049E-02,   -.2346E-02,     .000    ,    .2990E-02,    .6625E-02,    .9019E-02,    .1132E-01
   16.00    ,   -.6288E-02,   -.4889E-02,   -.2767E-02,     .000    ,    .3411E-02,    .7466E-02,    .1010E-01,    .1262E-01
   18.00    ,   -.7637E-02,   -.5809E-02,   -.3227E-02,     .000    ,    .3871E-02,    .8386E-02,    .1129E-01,    .1404E-01

*****************************
Aileron terms
*****************************
CN_Ail for Plain flap aileron
Alpha, DeltaAil
            ,   -64.00    ,   -40.00    ,   -20.00    ,   -10.00    ,     .000    ,    10.00    ,    20.00    ,    40.00    ,    64.00    
  -14.00    ,   -.1206E-01,   -.1017E-01,   -.5952E-02,   -.2976E-02,     .000    ,    .2976E-02,    .5952E-02,    .1017E-01,    .1206E-01
  -12.00    ,   -.9895E-02,   -.8346E-02,   -.4883E-02,   -.2441E-02,     .000    ,    .2441E-02,    .4883E-02,    .8346E-02,    .9895E-02
  -10.00    ,   -.7735E-02,   -.6524E-02,   -.3817E-02,   -.1908E-02,     .000    ,    .1908E-02,    .3817E-02,    .6524E-02,    .7735E-02
  -8.000    ,   -.5602E-02,   -.4725E-02,   -.2764E-02,   -.1382E-02,     .000    ,    .1382E-02,    .2764E-02,    .4725E-02,    .5602E-02
  -6.000    ,   -.3517E-02,   -.2966E-02,   -.1735E-02,   -.8676E-03,     .000    ,    .8676E-03,    .1735E-02,    .2966E-02,    .3517E-02
  -5.000    ,   -.2498E-02,   -.2107E-02,   -.1232E-02,   -.6162E-03,     .000    ,    .6162E-03,    .1232E-02,    .2107E-02,    .2498E-02
  -4.000    ,   -.1497E-02,   -.1263E-02,   -.7389E-03,   -.3694E-03,     .000    ,    .3694E-03,    .7389E-03,    .1263E-02,    .1497E-02
  -2.000    ,    .4431E-03,    .3738E-03,    .2186E-03,    .1093E-03,     .000    ,   -.1093E-03,   -.2186E-03,   -.3738E-03,   -.4431E-03
  -1.000    ,    .1423E-02,    .1201E-02,    .7023E-03,    .3512E-03,     .000    ,   -.3512E-03,   -.7023E-03,   -.1201E-02,   -.1423E-02
    .000    ,    .2428E-02,    .2048E-02,    .1198E-02,    .5990E-03,     .000    ,   -.5990E-03,   -.1198E-02,   -.2048E-02,   -.2428E-02
   1.000    ,    .3454E-02,    .2914E-02,    .1705E-02,    .8523E-03,     .000    ,   -.8523E-03,   -.1705E-02,   -.2914E-02,   -.3454E-02
   2.000    ,    .4501E-02,    .3796E-02,    .2221E-02,    .1110E-02,     .000    ,   -.1110E-02,   -.2221E-02,   -.3796E-02,   -.4501E-02
   4.000    ,    .6645E-02,    .5605E-02,    .3279E-02,    .1639E-02,     .000    ,   -.1639E-02,   -.3279E-02,   -.5605E-02,   -.6645E-02
